id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,emIngles
tt4366196,The True Love,Bu ai bu san,2014,95,Romance,1.8,76,actress,N,Wah Hong,1971,N,actress,"tt0212712,tt0956085,tt10997958,tt0365712",False
tt4367544,Ishq Tu Hi Tu,Ishq Tu Hi Tu,2015,134,Romance,8.1,32,actor,Bobby Bhai,Minaketan Das,1961,2017,actor,"tt1966344,tt5905080,tt1932694,tt2320312",False
tt4384128,Kimi ga inakucha dame nanda,Kimi ga inakucha dame nanda,2015,N,Romance,6.9,9,actress,N,Yukiko Asamori,N,N,actress,"tt6765496,tt19847024,tt2887954,tt4384128",False
tt4389410,Ladies First,Ladies First,2014,106,Romance,3.9,25,actress,N,Vandana Dave,N,N,actress,"tt1424040,tt4389410",True
tt4394104,Comfort,Comfort,2016,103,Romance,6.5,384,actor,Kenny,Michael Bow,N,N,"actor,director,writer","tt10323338,tt1790864,tt6111130,tt7846160",True
tt4396080,Round Trip Heart,Romansu,2015,97,Romance,6.4,79,actor,N,Kôji Ohkura,1974,N,actor,"tt0871909,tt0279077,tt4287848,tt0473064",False
tt4425414,Feel Good,Feel Good,2015,N,Romance,7.0,32,actor,Somkhuan,Padung Songsang,N,N,actor,"tt6447452,tt2670440,tt2595182,tt1832492",True
tt4447048,Singleholic,Singleholic,2022,104,Romance,6.5,23,actor,CharlieKing Arthur,Adrian Martinez,N,N,"actor,producer,director","tt0359950,tt11358390,tt2381941,tt14914430",True
tt4463762,Brasserie Valentine,Brasserie Valentijn,2016,102,Romance,5.3,950,actor,Frank,Egbert Jan Weeber,1981,N,"actor,soundtrack,writer","tt0288861,tt0381190,tt2367533,tt1167675",False
tt4475244,Pitching Love and Catching Faith,Pitching Love and Catching Faith,2015,91,Romance,4.6,189,actor,Tyler,Derek Boone,N,N,actor,"tt10408944,tt4236770,tt5056958,tt9354118",True
tt4479178,A New Love Ishtory,A New Love Ishtory,2013,140,Romance,6.2,92,actor,N,Raqesh Bapat,1978,N,actor,"tt0290326,tt0335044,tt14090476,tt7762818",True
tt4512266,Ladies & Gentlemen,Ladies & Gentlemen,2015,120,Romance,7.2,26,actress,Anjali,Jasmin Bhasin,1990,N,actress,"tt4512266,tt5459644,tt7731532,tt9603482",False
tt4536284,Los besos,Los besos,2014,93,Romance,4.6,17,actor,N,Javier Rabinovich,N,N,actor,tt4536284,False
tt4539442,Next Station I Love You,Xia yi zhan zai ai ni,2014,90,Romance,4.8,10,actor,N,Ching Siu-Lung,N,N,"sound_department,actor,special_effects","tt0097202,tt0118845,tt0212712,tt0104684",False
tt4543804,Viaje,Viaje,2015,71,Romance,6.3,272,actor,Pedro,Fernando Bolaños,N,N,actor,"tt4543804,tt4121318,tt3317054,tt23149674",False
tt4557998,Girls Like Magic,Girls Like Magic,2017,80,Romance,6.4,169,actress,Honey,Stephanie Drake,N,N,"actress,producer,writer","tt8125416,tt6975598,tt3560148,tt0804503",True
