id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,Is_English
tt12167458,Youth,Dhalinyaro,2018,86,Drama,6.5,68,actress,Hibo,Bilan Samir Moubus,N,N,actress,tt12167458,False
tt12171062,Corneador,Corneador,2017,79,Drama,5.4,5,actor,Lázaro,Samuel Pacheco,N,N,actor,tt12171062,False
tt12178152,Colchicum,Sourenjan,2019,87,Drama,5.5,41,actor,Keyhan,Milad Keymaram,N,N,actor,"tt3696808,tt2548096,tt7901864,tt5468178",False
tt12182440,Buladó,Buladó,2020,87,Drama,6.8,1174,actress,Kenza,Tiara Richards,N,N,actress,N,False
tt12182460,Kintsugi,Kintsugi,2020,91,Drama,6.8,9,actress,N,Lui Manansala,N,N,actress,"tt2100397,tt2269348,tt5216674,tt5586314",False
tt12183886,Binisutoy: Without Strings,Binisutoy: Without Strings,2020,94,Drama,7.0,299,actor,Kaahon,Samontak Dyuti Maitra,N,N,actor,"tt13599178,tt8784884,tt12183886",True
tt12188452,Glassboy,Glassboy,2020,90,Drama,6.3,55,actress,Nonna Helena,Loretta Goggi,1950,N,"actress,soundtrack,miscellaneous","tt0424587,tt10368460,tt0462590,tt0299352",True
tt12191458,We Will Never Belong,Nunca seremos parte,2022,93,Drama,6.7,7,actress,Emi,Adriana Palafox,N,N,actress,"tt12191458,tt15482000",False
tt12196092,In My Heart,In My Heart,2018,105,Romance,6.4,10,actor,Monster's Father,Huang Yi Fei,N,N,actor,tt12196092,True
tt12204492,Desperate Widows,Mommune,2021,N,Drama,5.7,74,actress,Elizabeth,Sarah J. Cornelius,N,N,"actress,miscellaneous,producer","tt7747810,tt5095734,tt1245695,tt12204492",False
tt12211524,50 or Two Whales Meet on the Beach,50 (o Dos ballenas se encuentran en la playa),2020,122,Drama,7.3,107,actress,Elisa,Karla Coronado,N,N,"actress,writer","tt2618368,tt6898324,tt12211524,tt5163162",False
tt12211742,Brummi,Brummi,2020,109,Drama,5.7,34,actor,Thomas,Wolfgang Böhm,N,N,actor,"tt0108977,tt12211742,tt20413042,tt17338868",False
tt12216202,Life After You,Life After You,2022,90,Drama,7.2,87,actor,Alex,Peter Collier,N,N,actor,"tt12216202,tt14347300,tt7536726,tt7738546",True
tt12216206,You Like to Draw?,You Like to Draw?,2020,112,Drama,7.8,8,actress,Nancy Miller,Debra Lamb,1963,N,"actress,producer,camera_department","tt12580538,tt13581936,tt11327400,tt12216206",True
tt12217430,Latay,Latay,2019,N,Drama,5.9,10,actor,N,Allen Dizon,N,N,"actor,producer","tt3989186,tt7066638,tt5836374,tt12217430",False
tt12221824,After Masks,After Masks,2021,105,Drama,6.3,1363,actor,Dad (Segment Winners),Joseph Alfieri,N,N,actor,"tt0118893,tt0110475,tt0197072,tt0179626",True
tt12223246,Cinemaa Zindabad,Cinemaa Zindabad,2022,N,Drama,4.1,113,actor,N,Mukesh S. Bhatt,N,N,actor,"tt1280558,tt3595298,tt4169250,tt2377938",False
tt12229370,Mothering Sunday,Mothering Sunday,2021,104,"Drama,Romance",6.0,2778,actress,Mrs Clarrie Niven,Olivia Colman,1974,N,"actress,producer,soundtrack","tt3464902,tt5083738,tt1204340,tt9100054",True
tt12231752,Three Comrades,Three Comrades,2020,72,Drama,4.9,22,actress,Olya,Olga Serikova,N,N,actress,tt12231752,True
tt12235250,Beginning,Beginning,2020,N,Drama,3.7,50,actress,Ana,Ioana Flora,1975,N,"actress,miscellaneous","tt1646221,tt7907602,tt3364242,tt1056231",True
tt12235966,Killing Karma,Killing Karma,2018,60,Romance,6.4,5,actor,Scott,Gabe Ramirez,N,N,actor,"tt12235966,tt12210958,tt12235266",False
tt12240682,All Will End Soon,Skoro vsyo konchitsya,2017,N,Drama,6.0,8,actor,N,Mikhail Sivorin,N,N,actor,"tt0416111,tt5006498,tt7698958,tt12240682",False
tt12244822,Amira,Amira,2021,98,Drama,3.2,7803,actor,Said,Waleed Zuaiter,1971,N,"actor,producer","tt1261945,tt1234548,tt3300542,tt2852406",False
tt12250634,Borrelia Borealis,Borrelia Borealis,2021,93,Drama,5.5,60,actress,Dr. Kensington,Maiya Reaves,N,N,actress,"tt11120378,tt12250634,tt7309000,tt15104810",False
tt12250992,Blood Freaks,Blood Freaks,2020,71,Drama,5.1,30,actor,N,Agustín Elizondo,N,N,actor,"tt12250992,tt4849966",True
tt12251698,Emerge,Emerge,2020,N,Drama,8.8,7,actress,Leslie,Donnetta Coleman,N,N,actress,tt7358952,True
tt12252010,Estação Rock,Estação Rock,2020,95,Drama,7.1,12,actor,N,Nuno Leal Maia,1947,N,actor,"tt0261026,tt0138274,tt0143052,tt0138270",False
tt12252034,Roar,Roar,2019,99,Drama,5.4,21,actress,Hiromi,Mie Ohta,N,N,actress,"tt2514038,tt20758104,tt1627056,tt0405004",False
tt12252488,America,America,2022,127,Drama,7.2,39,actor,Eli GreenbergIlay Cross,Michael Moshonov,1986,N,"actor,composer,soundtrack","tt12252488,tt11167448,tt5360996,tt7598448",True
tt12253164,Metronom,Metronom,2022,93,Drama,6.7,342,actress,Ana,Mara Bugarin,N,N,,tt12253164,False
tt12254438,Sons of the Sea,Sons of the Sea,2021,82,Drama,7.6,26,actress,Tanya,Nicole Fortuin,1992,N,actress,"tt7279868,tt5822648,tt8883164,tt7914022",True
tt12256440,DAU. Three Days,DAU. Tri dnya,2020,104,Drama,5.7,175,actress,Nora,Radmila Shegoleva,1973,N,actress,"tt11777298,tt0191821,tt12370412,tt1786502",False
tt12257158,He Who Is Without Sin,He Who Is Without Sin,2020,74,Drama,7.3,43,actor,Fred,Migs Campanilla,N,N,actor,"tt9389924,tt12257158",True
tt12257206,The Highest Peak,The Highest Peak,2020,N,Drama,4.7,7,actor,N,Dax Alejandro,N,N,actor,"tt0820987,tt12251724,tt12257206,tt2269404",True
tt12258380,Bansuri: The Flute,Bansuri: The Flute,2021,108,Drama,5.0,20,actor,Sadashiv,Anurag Kashyap,1972,N,"producer,writer,director","tt1954470,tt1327035,tt3322420,tt1639426",True
tt12261772,S01E03,S01E03,2020,57,Drama,6.9,14,actress,N,Alice Dos Reis,N,N,"director,writer,producer","tt12261772,tt21159024,tt21188384",False
tt12262324,God's Waiting Room,God's Waiting Room,2022,95,Drama,6.1,70,actress,Camilla,Paulina Gálvez,1969,N,"actress,director,writer","tt11460580,tt6110648,tt0364882,tt1260520",True
tt12264546,Electrician,Electrician,2020,85,Drama,6.7,112,actor,Consultant,Ian Taylor,N,N,actor,tt12264546,True
