id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt10294052,Renovation of the Heart/It's a Fixer Upper,Renovation of the Heart/It's a Fixer Upper,2019,84,Romance,4.3,129,actor,Dan Dover,Sean Wing,N,N,"actor,composer,writer","tt0829297,tt1147684,tt8308676,tt1414382"
tt10294052,Renovation of the Heart/It's a Fixer Upper,Renovation of the Heart/It's a Fixer Upper,2019,84,Romance,4.3,129,actor,Frank Dover,Gary Neal Johnson,N,N,actor,"tt12953542,tt12926968,tt10294052,tt18550076"
tt10294052,Renovation of the Heart/It's a Fixer Upper,Renovation of the Heart/It's a Fixer Upper,2019,84,Romance,4.3,129,actress,Anne Dover,Louise Dylan,N,N,"actress,producer,writer","tt4289508,tt1366312,tt1020885,tt3969208"
tt10294052,Renovation of the Heart/It's a Fixer Upper,Renovation of the Heart/It's a Fixer Upper,2019,84,Romance,4.3,129,actress,Diane Dover,Dee Wallace,1948,N,"actress,producer,miscellaneous","tt0083866,tt0085382,tt0082533,tt0090887"
tt10300646,Kaadhal Munnetra Kazhagam,Kaadhal Munnetra Kazhagam,2019,112,Romance,3.7,8,actor,N,'Ganja' Karuppu,N,N,actor,"tt0453190,tt1815775,tt1997455,tt0458050"
tt10300646,Kaadhal Munnetra Kazhagam,Kaadhal Munnetra Kazhagam,2019,112,Romance,3.7,8,actor,N,Singampuli,N,N,"actor,writer,assistant_director","tt1039983,tt1496797,tt6450116,tt6779222"
tt10300646,Kaadhal Munnetra Kazhagam,Kaadhal Munnetra Kazhagam,2019,112,Romance,3.7,8,actor,N,Sivassenathipathi,N,N,actor,tt10300646
tt10300646,Kaadhal Munnetra Kazhagam,Kaadhal Munnetra Kazhagam,2019,112,Romance,3.7,8,actress,N,Chandini Tamilarasan,1992,N,actress,"tt7938192,tt2576666,tt6712026,tt7933564"
tt10300646,Kaadhal Munnetra Kazhagam,Kaadhal Munnetra Kazhagam,2019,112,Romance,3.7,8,actor,N,Prithvi Pandiarajan,N,N,actor,"tt4439178,tt10300646,tt11912174"
tt10320120,Lust In A Karaoke Box,Lust In A Karaoke Box,2018,100,Romance,5.5,6,actor,N,Nozomi Morioka,N,N,actor,tt10320120
tt10320120,Lust In A Karaoke Box,Lust In A Karaoke Box,2018,100,Romance,5.5,6,actor,N,Mizuki Maehara,N,N,actor,"tt10320120,tt15666846,tt9800110,tt5074416"
tt10320120,Lust In A Karaoke Box,Lust In A Karaoke Box,2018,100,Romance,5.5,6,actress,N,Mijika Nagai,N,N,actress,"tt15739030,tt14469810,tt10370822,tt10320120"
tt10320120,Lust In A Karaoke Box,Lust In A Karaoke Box,2018,100,Romance,5.5,6,actor,N,Makoto Kikuchi,N,N,actor,tt10320120
tt10320120,Lust In A Karaoke Box,Lust In A Karaoke Box,2018,100,Romance,5.5,6,actor,N,Takahiro Kinoshita,N,N,actor,tt10320120
tt10320120,Lust In A Karaoke Box,Lust In A Karaoke Box,2018,100,Romance,5.5,6,actor,N,Nijirô Murakami,1997,N,actor,"tt4912452,tt6103812,tt5104604,tt5280018"
tt10320120,Lust In A Karaoke Box,Lust In A Karaoke Box,2018,100,Romance,5.5,6,actor,N,Tsuyoshi Kondo,N,N,actor,"tt19719904,tt1117609,tt1733147,tt10320120"
tt10356526,Laiye Je Yaarian,Laiye Je Yaarian,2019,117,Romance,6.7,173,actor,Sukh,Harish Verma,N,N,actor,"tt10356526,tt8108168,tt8749962,tt5080254"
tt10356526,Laiye Je Yaarian,Laiye Je Yaarian,2019,117,Romance,6.7,173,actor,Laddi,Sarab Dhillon,N,N,actor,"tt11710540,tt14122866,tt9043840,tt10356526"
tt10356526,Laiye Je Yaarian,Laiye Je Yaarian,2019,117,Romance,6.7,173,actress,Raunak,Roopi Gill,N,N,actress,"tt8785138,tt10356526,tt19357690,tt8749962"
tt10356526,Laiye Je Yaarian,Laiye Je Yaarian,2019,117,Romance,6.7,173,actress,Jaanpreet,Rubina Bajwa,N,N,actress,"tt11287830,tt11720140,tt10356526,tt7897324"
tt10370434,Runam,Runam,2019,131,Romance,8.8,385,actor,N,Gopi Krishna,N,N,actor,N
tt10370434,Runam,Runam,2019,131,Romance,8.8,385,actor,N,Shilpa Mahendar,N,N,actor,N
tt10370434,Runam,Runam,2019,131,Romance,8.8,385,actor,N,Priyanka Augustin,N,N,actor,N
tt10393846,Growing Pains,Growing Pains,2017,90,Romance,4.2,6,actor,Leehom Wang,Leehom Wang,1976,N,"soundtrack,actor,composer","tt2717822,tt2034800,tt0808357,tt1646214"
tt10393846,Growing Pains,Growing Pains,2017,90,Romance,4.2,6,actor,Gu Mingyao,Xia Hu,1990,N,"soundtrack,actor","tt4886030,tt7108160,tt10218664,tt2036416"
tt10393846,Growing Pains,Growing Pains,2017,90,Romance,4.2,6,actor,Luo Tao,Nuo Lu,N,N,actor,"tt10393846,tt4365336,tt4701702,tt7773340"
tt10393846,Growing Pains,Growing Pains,2017,90,Romance,4.2,6,actress,Xia Yuanyuan,Jiao Xu,1997,N,"actress,director,writer","tt1308138,tt0940709,tt2084098,tt1641638"
